reward,viol
-330.96937435347485,21
-274.10653299723793,14
-173.55702231007166,2
-279.1149886567274,13
-180.80935996112296,1
-302.7724390658881,14
-186.21903634219507,2
-190.61943453863526,2
-187.82145270556663,4
-255.12527947218032,11
-257.38735833660127,9
-148.37334833287343,0
-205.3404313443953,5
-241.93689186839356,9
-274.53530768962986,11
-256.294853938675,10
-221.61410770435657,4
-245.70509998270913,10
-204.09995584855523,5
-179.84647382564611,1
-230.5744679432361,7
-205.09500656974623,4
-238.14060085676792,9
-294.31860511986696,15
-167.67844353541022,0
-342.77474515692086,19
-213.0631780183502,4
-181.4426745329232,1
-264.6424202949839,11
-175.16517687048787,0
-186.31823648229124,2
-216.54058564474028,4
-249.5245808372331,11
-203.95404049253588,4
-207.17075834957726,5
-201.96682707451876,5
-161.57095566306617,1
-267.0296370621659,12
-287.4244633949699,12
-218.52580056080566,6
-239.36976843007724,10
-211.47325285828077,5
-166.58371567367874,1
-183.32987695229303,2
-313.08169847978525,17
-186.97515622156837,3
-206.02187310078347,6
-188.19370059966857,2
-193.6242826833253,2
-180.97065329539842,0
-205.9845752447679,2
-184.6645924811038,0
-180.71801426449136,0
-178.55422338114386,1
-258.58246145054216,11
-178.45059338979493,1
-233.1890065031867,6
-202.53323073068003,5
-177.3412898294362,1
-165.06812466490496,0
-237.0177705355191,7
-244.6309415879658,10
-225.53898999944076,4
-181.29130865403468,0
-267.00955288147964,11
-232.37771223111625,8
-211.86087234203498,4
-201.13789504497282,3
-206.7951698360792,2
-210.54591464056733,5
-187.56867939925854,2
-165.43384414342518,0
-198.56907451264664,2
-220.788097524671,6
-182.73775858759183,1
-260.891394058129,11
-301.1394986574523,14
-181.7271349225873,1
-235.09925425794685,7
-190.72453570197462,2
-214.78793328335442,6
-180.40637768934732,0
-194.23728577524608,3
-244.98866821034528,8
-242.13480757312485,8
-177.94807785400408,0
-204.36871644738176,3
-164.34120269363996,1
-252.40123818138483,10
-210.66957736837605,6
-213.39773268431256,5
-177.5541176748615,0
-226.00401688999358,4
-278.65180222593443,14
-186.22457047394673,0
-171.2778961823087,0
-169.98760509196595,1
-245.6657549638393,7
-217.0307112416852,5
-180.0148122144536,1
-181.7405987775161,0
-209.05111468026251,4
-190.75312608735857,1
-213.52755888331782,5
-177.5056514614922,1
-194.33871703361416,3
-329.466471022379,19
-165.8098299583723,1
-279.3773346714124,13
-196.81439131261217,1
-180.65262964088015,0
-165.91794895375594,0
-210.89323680443948,3
-207.61182069002726,3
-176.94763400766126,1
-275.7317382165712,11
-215.1684452124042,6
-189.43815643226347,0
-204.9595196363235,4
-263.032532143076,9
-200.48169991527962,2
-192.7423986322136,2
-169.71606839245032,0
-222.8832164103121,5
-193.72581025237074,2
-213.41552797676275,4
-234.4291770639119,8
-195.0152761359397,3
-189.3048982744176,2
-209.13631057088716,3
-197.92464515795734,2
-206.02333996932592,3
-169.0615683953681,0
-296.7397020308273,14
-184.6037469311918,1
-246.71476094333815,8
-204.26822480772114,4
-178.36153652144347,2
-212.86177994966278,4
-180.3295394009614,0
-237.012947979298,8
-214.4499913655564,5
-293.82046415107493,16
-165.39903319731096,0
-191.11782911427403,4
-215.17754322454692,6
-198.3136537362647,4
-179.41326020534757,1
-165.43755106041735,0
-225.29743050114126,6
-186.4550872305749,1
-289.982665339299,12
-238.89422792657578,7
-212.9507910824025,6
-175.09061525835182,0
-172.03822680472408,0
-186.5183715570106,1
-199.58873531888972,2
-190.10383551613188,1
-183.89611231420687,1
-248.1856639311595,9
-201.1837861031965,4
-181.66157151860878,0
-177.30229179402127,2
-176.60015741566644,1
-187.67378884212533,2
-181.6808558268713,2
-195.85389296852978,2
-187.71615023048847,0
-220.21926738897218,5
-170.13186148184263,1
-186.34530973915307,4
-231.22201224053174,6
-186.33094377114554,1
-195.20679199654037,2
-240.6011282719403,7
-186.83370633074833,1
-232.11585951380823,6
-197.53395796673064,3
-185.28359198689805,1
-155.97736051879454,1
-222.15987778930494,5
-190.80575009738698,3
-192.28880228098808,2
-200.05651916397093,3
-208.9836892197503,4
-242.98840715849335,8
-199.3509694341857,2
-239.40536536411528,7
-194.83288689801915,2
-189.90341661503797,2
-200.5983856074509,1
-215.08407359555423,5
-198.35462840900885,2
